代碼, 名稱, 幫助記憶的詮釋
Ag, 形語素, 形容詞性語素。形容詞代碼為 a，語素代碼 g 前面置以 A。
a, 形容詞, 取英語形容詞 adjective 的第1個字母。
ad, 副形詞, 直接作狀語的形容詞。形容詞代碼 a 和副詞代碼 d 並在一起。
an, 名形詞, 具有名詞功能的形容詞。形容詞代碼a和名詞代碼n並在一起。
b, 區別詞, 取漢字“別”的聲母。
c, 連詞, 取英語連詞 conjunction 的第 1 個字母。
Dg, 副語素, 副詞性語素。副詞代碼為 d，語素代碼 g 前面置以 D。
d, 副詞, 取 adverb 的第 2 個字母，因其第 1 個字母已用於形容詞。
e, 嘆詞, 取英語嘆詞 exclamation 的第 1 個字母。
f, 方位詞, 取漢字“方” 的聲母。
g, 語素, 絕大多數語素都能作為合成詞的“詞根”，取漢字“根”的聲母。
h, 前接成分, 取英語 head 的第 1 個字母。
i, 成語, 取英語成語 idiom 的第 1 個字母。
j, 簡稱略語, 取漢字“簡”的聲母。
k, 後接成分,  
l, 習用語, 習用語尚未成為成語，有點“臨時性”，取“臨”的聲母。
m, 數詞, 取英語 numeral 的第 3 個字母，n，u 已有他用。
Ng, 名語素, 名詞性語素。名詞代碼為 n，語素代碼 g 前面置以 N。
n, 名詞, 取英語名詞 noun 的第 1 個字母。
nr, 人名, 名詞代碼 n 和“人(ren)”的聲母並在一起。
ns, 地名, 名詞代碼 n 和處所詞代碼 s 並在一起。
nt, 機構團體, “團”的聲母為 t，名詞代碼 n 和 t 並在一起。
nz, 其他專名, “專”的聲母的第1個字母為 z，名詞代碼 n 和 z 並在一起。
o, 擬聲詞, 取英語擬聲詞 onomatopoeia 的第1個字母。
p, 介詞, 取英語介詞 prepositional 的第 1 個字母。
q, 量詞, 取英語 quantity 的第 1 個字母。
r, 代詞, 取英語代詞 pronoun 的第 2 個字母 因 p 已用於介詞。
s, 處所詞, 取英語 space 的第 1 個字母。
Tg, 時語素, 時間詞性語素。時間詞代碼為 t 在語素的代碼 g 前面置以 T。
t, 時間詞, 取英語 time 的第 1 個字母。
u, 助詞, 取英語助詞 auxiliary 的第 2 個字母 因 a 已用於形容詞。
Vg, 動語素, 動詞性語素。動詞代碼為 v 在語素的代碼 g 前面置以 V。
v, 動詞, 取英語動詞 verb 的第一個字母。
vd, 副動詞, 直接作狀語的動詞。動詞和副詞的代碼並在一起。
vn, 名動詞, 指具有名詞功能的動詞。動詞和名詞的代碼並在一起。
w, 標點符號,  
x, 非語素字, 非語素字只是一個符號，字母 x 通常用於代表未知數、符號。
y, 語氣詞, 取漢字“語”的聲母。
z, 狀態詞, 取漢字“狀”的聲母的前一個字母。
